bank,pc,count
05,3040,1
05,3041,1
05,3042,1
05,3043,6
05,3044,5
05,3045,1
05,3046,1
05,3054,1
05,3056,1
05,3070,2
05,3071,2
05,3072,2
05,3073,2
05,3074,2
05,3102,2
05,3107,2
05,3110,2
05,3111,2
05,3112,2
05,3113,2
05,3114,2
05,3115,2
05,3116,2
05,3117,2
05,3120,2
05,3121,2
05,3122,2
05,3123,2
05,3124,2
05,3125,2
05,3126,2
05,3127,2
05,3130,2
05,3131,2
05,3132,2
05,3133,2
05,3134,2
05,3135,2
05,3136,2
05,3137,2
05,3140,2
05,3141,2
05,3142,2
05,3143,2
05,3144,2
05,3145,2
05,3146,3
05,3147,3
05,3150,3
05,3151,3
05,3152,3
05,3153,3
05,3154,3
05,3155,3
05,3156,3
05,3157,3
05,3160,1
05,3161,3
05,3162,3
05,3163,3
05,3164,3
05,3165,3
05,3166,3
05,3167,3
05,3170,3
05,3171,3
05,3172,3
05,3173,3
05,3174,3
05,3175,3
05,3176,3
05,3177,3
05,3200,3
05,3201,3
05,3202,3
05,3203,3
05,3204,3
05,3205,3
05,3206,3
05,3207,3
05,3210,3
05,3211,3
05,3212,3
05,3213,3
05,3214,3
05,3215,3
05,3216,3
05,3217,3
05,3220,3
05,3221,3
05,3222,3
05,3223,3
05,3224,3
05,3225,3
05,3226,3
05,3227,3
05,3230,3
05,3231,3
05,3232,3
05,3233,3
05,3234,3
05,3235,3
05,3236,3
05,3237,3
05,3240,3
05,3241,3
05,3242,3
05,3243,3
05,3244,3
05,3245,3
05,3246,3
05,3247,3
05,3250,3
05,3251,3
05,3252,3
05,3253,3
05,3254,3
05,3255,3
05,3256,3
05,3257,3
05,3260,3
05,3261,3
05,3262,3
05,3263,3
05,3264,3
05,3265,3
05,3266,3
05,3267,3
05,3270,3
05,3271,3
05,3272,3
05,3273,3
05,3274,33
05,3275,33
05,3276,33
05,3277,33
05,3300,33
05,3301,30
05,3302,3
05,3303,3
05,3304,3
05,3305,3
05,3306,3
05,3307,3
05,3310,3
05,3311,3
05,3312,3
05,3313,3
05,3314,3
05,3315,3
05,3316,3
05,3317,3
05,3320,3
05,3321,3
05,3322,3
05,3323,3
05,3324,3
05,3325,3
05,3326,3
05,3327,3
05,3330,3
05,3331,3
05,3332,3
05,3333,3
05,3334,3
05,3335,3
05,3336,3
05,3337,3
05,3340,3
05,3341,3
05,3342,3
05,3343,3
05,3344,3
05,3345,3
05,3506,1432
05,3507,1432
05,3510,1432
05,3511,1432
05,3512,31
05,3513,31
05,3514,31
05,3515,2
05,3516,2
05,3517,2
05,3520,2
05,3521,2
05,3522,2
05,3523,1430
05,3524,732
05,3526,698
05,3527,698
05,3530,273
05,3532,425
05,3533,425
05,3534,425
05,3535,411
05,3536,16
05,3537,16
05,3540,16
05,3541,16
05,3542,16
05,3543,411
05,3544,411
05,3545,411
05,3546,397
05,3547,397
05,3550,14
05,3551,14
05,3552,14
05,3553,411
05,3554,411
05,3555,411
05,3556,411
05,3557,387
05,3561,10
05,3562,14
05,3563,411
05,3564,766
05,3565,766
05,3566,766
05,3567,167
05,3570,167
05,3571,167
05,3572,56
05,3573,56
05,3574,56
05,3575,56
05,3576,56
05,3577,56
05,3600,56
05,3601,56
05,3602,56
05,3603,56
05,3604,56
05,3605,30
05,3606,30
05,3607,30
05,3610,30
05,3611,111
05,3612,111
05,3613,111
05,3614,82
05,3615,82
05,3616,29
05,3617,29
05,3620,29
05,3621,29
05,3622,224
05,3623,224
05,3624,224
05,3625,224
05,3626,224
05,3627,224
05,3630,224
05,3631,224
05,3632,224
05,3633,224
05,3634,224
05,3635,224
05,3636,224
05,3637,195
05,3641,29
05,3642,29
05,3643,29
05,3644,29
05,3645,29
05,3646,29
05,3647,29
05,3650,29
05,3651,29
05,3652,29
05,3653,1331
05,3654,1331
05,3655,1331
05,3656,1331
05,3657,1331
05,3660,1331
05,3661,1331
05,3662,1331
05,3663,1331
05,3664,1331
05,3665,82
05,3666,355
05,3667,355
05,3670,355
05,3671,274
05,3672,274
05,3673,81
05,3674,81
05,3675,81
05,3676,355
05,3677,355
05,3700,355
05,3701,1432
05,3702,1432
05,3703,1432
05,3704,1432
05,3705,1432
05,3706,1432
05,3756,16
05,3757,16
05,3760,16
05,3761,16
05,3762,16
05,3763,1432
05,3764,1432
05,3765,1432
05,3766,1432
05,3767,1401
05,3770,31
05,3771,31
06,2000,353
06,2001,353
06,2002,353
06,2003,353
06,2004,214
06,2005,28
06,2006,106
06,2007,33
06,2010,247
06,2011,247
06,2012,247
06,2013,196
06,2014,48
06,2015,3
06,2016,3
06,2017,3
06,2020,3
06,2021,3
06,2022,3
06,2023,3
06,2024,55
06,2025,55
06,2026,55
06,2027,55
06,2030,98
