cycle,instructions,p63_instructions
2368185,1437168,2
2372452,1439761,2
2376719,1442351,2
2380986,1444953,2
2385253,1447543,2
2389520,1450149,2
2393787,1452725,2
2398054,1455332,2
2402321,1457920,2
2406588,1460520,2
2410855,1463112,2
2415122,1465704,2
2419389,1468275,2
2423656,1470880,2
2427923,1473467,2
2432190,1476072,2
2436457,1478648,2
2440724,1481254,2
2444991,1483839,2
2449258,1486443,2
2453525,1489034,2
2457792,1491625,2
2462059,1494216,2
2466326,1496820,2
2470593,1499409,2
2474860,1502003,2
2479127,1504589,2
2483394,1507196,2
2487661,1509783,2
2491928,1512391,2
2496195,1514971,2
2500462,1517573,2
2504729,1520164,2
2508996,1522735,2
2513263,1525320,2
2517530,1527915,2
2521797,1530506,2
2526064,1533104,2
2530331,1535695,2
2534598,1538299,2
2538865,1540878,2
2543132,1543483,2
2547399,1546069,2
2551666,1548677,2
2555933,1551262,2
2560000,1553733,2
