bank,pc,count
02,4624,20
02,4625,20
02,4626,20
02,4627,20
02,4630,20
02,4631,11
02,4632,11
02,4633,11
02,4634,11
02,4635,56887
02,4636,56887
02,4637,56887
02,4640,56913
02,4641,56913
02,4642,56913
02,4643,56932
02,4644,56932
02,4645,4
02,4646,4
02,4647,4
02,4650,4
02,4674,608
02,4675,608
02,4676,608
02,4677,608
02,4700,608
02,4701,608
02,4702,608
02,4703,608
02,4704,608
02,4705,608
02,4706,608
02,4707,608
02,4710,608
02,4711,608
02,4712,608
02,4713,19
02,4714,19
02,4715,19
02,4716,19
02,4717,19
02,4720,19
02,4721,19
02,4722,19
02,4723,19
02,4724,19
02,4725,19
02,4726,19
02,4727,1
02,4730,1
02,4731,1
02,5032,250
02,5033,500
02,5034,500
02,5036,500
02,5037,500
02,5040,250
02,5041,250
02,5042,250
02,5043,250
02,5044,250
02,5045,250
02,5046,250
02,5050,250
02,5051,250
02,5052,250
02,5053,250
02,5054,250
02,5055,250
02,5056,250
02,5057,250
02,5060,250
02,5061,250
02,5062,250
02,5063,250
02,5064,250
02,5065,250
02,5066,250
02,5067,250
02,5070,250
02,5071,250
02,5072,25
02,5073,25
02,5074,25
02,5075,25
02,5076,25
02,5077,25
02,5100,25
02,5101,25
02,5102,25
02,5103,25
02,5104,25
02,5105,1
02,5106,1
02,5107,1
02,5110,1
02,5111,1
02,5112,2
02,5113,2
02,5114,2
02,5115,2
02,5116,1
02,5117,1
02,5120,1
02,5121,1
02,5133,1
02,5134,1
02,5135,1
02,5136,1
02,5137,2
02,5140,2
02,5141,2
02,5142,2
02,5143,2
02,5144,2
02,5145,2
02,5146,2
02,5147,2
02,5150,2
02,5151,2
02,5152,2
02,5153,2
02,5154,2
02,5155,22
02,5156,22
02,5157,22
02,5160,29
02,5161,29
02,5162,29
02,5165,22
02,5166,56878
02,5167,56878
02,5170,56878
02,5171,56878
02,5240,3
02,5242,3
02,5261,3
02,5265,3
02,5266,3
02,5267,3
02,5270,2125
02,5271,2125
02,5272,2125
02,5273,2125
02,5274,2125
02,5275,2125
02,5276,2125
02,5314,1
02,5315,3
02,5316,3
02,5317,3
02,5353,2
02,5354,2
02,5355,2
02,5356,2
02,5357,2
02,5360,2
02,5361,2
02,5362,2
02,5363,2
02,5364,2
02,5365,2
02,5370,1
02,5371,1
02,5372,1
02,5373,1
02,5374,1
02,5376,1
02,5377,1
02,5400,1
02,5402,1
02,5403,1
02,5404,1
02,5405,1
02,5406,1
02,5407,1
02,5411,1
02,5412,1
02,5413,1
02,5414,1
02,5415,1
02,5416,1
02,5417,1
02,5420,1
02,5421,1
02,5476,1
02,5477,1
02,5500,1
02,5501,1
02,5502,1
02,5503,1
02,5504,1
02,5505,1
02,5506,1
02,5507,1
02,5510,1
02,5511,11
02,5512,11
02,5513,11
02,5514,11
02,5515,11
02,5516,10
02,5517,10
02,5520,10
02,5521,10
02,5522,11
02,5523,11
02,5524,11
02,5525,11
02,5526,11
02,5527,11
02,5530,11
02,5531,11
02,5532,11
02,5533,11
02,5534,11
02,5535,11
02,5536,11
02,5537,11
02,5540,11
02,5541,11
02,5542,11
02,5543,11
02,5545,60
02,5546,60
02,5547,60
02,5550,60
02,5551,60
02,5552,60
02,5553,60
02,5554,60
02,5555,60
02,5556,60
02,5557,60
02,5560,60
02,5561,54
02,5562,6
02,5567,1
02,5570,1
02,5571,1
02,5572,1
02,5573,1
02,5574,2
02,5575,2
02,5576,2
02,5577,2
02,5600,2
02,5601,2
02,5602,2
02,5603,2
02,5605,2
02,5606,2
02,5621,2
02,5622,2
02,5623,2
02,5624,2
02,5625,2
02,5626,2
02,5627,2
02,5644,1
02,5645,1
02,5646,1
02,5647,1
02,5650,1
02,5652,1
02,5653,1
02,5654,1
02,5655,1
02,5656,1
02,5657,1
02,5661,1
02,5662,1
02,5663,1
02,5664,1
02,5665,1
02,5666,1
02,5670,1
02,5671,1
02,5672,1
02,5674,1
02,5676,1
02,5700,1
03,6001,1
03,6002,1
03,6003,1
03,6004,1
03,6005,1
03,6011,1
03,6012,1
03,6013,1
03,6014,1
03,6015,1
03,6016,1
03,6017,1
03,6020,1
03,6037,9
03,6040,9
03,6041,9
03,6042,56
03,6043,56
03,6044,56
03,6045,56
03,6046,56
03,6047,56
03,6052,41
03,6053,41
03,6054,41
03,6055,47
03,6056,47
03,6057,47
03,6060,83
03,6061,354
03,6062,354
03,6063,364
03,6064,162
03,6065,202
03,6067,202
03,6070,258
03,6071,258
03,6072,258
03,6073,58
03,6075,200
03,6076,200
03,6077,362
03,6100,362
03,6101,158
03,6102,28
03,6103,176
03,6104,176
03,6105,17
03,6106,192
03,6107,192
03,6110,192
03,6111,24
03,6113,168
03,6114,168
03,6115,168
03,6116,168
03,6117,103
03,6120,103
03,6121,65
03,6122,65
03,6123,65
03,6124,65
03,6125,103
03,6126,103
03,6127,47
03,6130,47
03,6131,47
03,6132,47
03,6133,47
03,6134,47
03,6135,47
03,6136,56
03,6137,56
03,6140,56
03,6141,56
03,6142,56
03,6143,56
03,6144,2
03,6145,2
03,6146,19
03,6147,19
03,6150,19
03,6151,19
03,6152,19
03,6153,19
03,6154,7
03,6155,7
03,6156,19
03,6157,19
03,6160,19
03,6161,19
03,6162,15
03,6163,15
03,6164,19
03,6165,19
03,6166,19
03,6167,19
03,6170,19
03,6171,19
03,6172,19
03,6173,19
03,6174,19
03,6175,15
03,6176,15
03,6177,15
03,6200,15
03,6201,15
03,6202,15
03,6203,15
03,6206,4
03,6207,4
03,6210,4
03,6211,4
03,6212,4
03,6213,4
03,6214,4
03,6215,24
03,6216,24
03,6217,24
03,6220,24
03,6221,16
03,6223,8
03,6224,8
03,6225,7
03,6226,7
03,6227,7
03,6230,1
03,6231,1
03,6232,1
03,6233,16
03,6234,16
03,6235,24
03,6236,24
03,6237,24
03,6240,24
03,6247,158
03,6250,81
03,6252,85
03,6253,85
03,6254,85
03,6255,85
03,6256,85
03,6257,85
03,6260,85
03,6261,85
03,6262,85
03,6263,81
03,6264,81
03,6265,59
03,6266,59
03,6267,22
03,6271,9
03,6272,13
03,6274,20
03,6275,4
03,6276,1
03,6277,12
03,6301,4
03,6302,41
03,6304,5
03,6305,3
03,6306,18
03,6307,7
03,6310,7
03,6312,2
03,6315,1
03,6316,1
03,6317,24
03,6320,8
03,6321,3
03,6322,1
03,6323,1
03,6324,4
03,6326,7
03,6327,1
03,6330,9
03,6332,17
03,6333,10
03,6334,6
03,6336,2
03,6340,1
03,6346,9
03,6347,4
03,6350,7
03,6351,25
03,6352,24
03,6353,7
03,6362,58
03,6363,58
03,6364,58
03,6365,58
03,6366,58
03,6367,58
03,6370,58
03,6371,58
03,6372,15
03,6373,15
03,6400,22
03,6401,22
03,6402,2
03,6403,2
03,6404,11
03,6405,11
03,6410,8
03,6411,8
03,6412,8
03,6413,8
03,6422,58
03,6423,58
03,6424,58
03,6425,21
03,6426,21
03,6427,37
03,6430,37
03,6431,37
03,6432,37
03,6433,58
03,6434,58
03,6435,58
03,6436,58
03,6437,58
03,6440,58
03,6441,4
03,6442,30
03,6443,24
03,6444,24
