cycle,instructions,p63_instructions
2235908,1350977,16
2240175,1353580,16
2244442,1356150,16
2248709,1358757,16
2252976,1361343,16
2257243,1363938,16
2261510,1366529,16
2265777,1369128,16
2270044,1371719,16
2274311,1374310,16
2278578,1376901,16
2282845,1379507,16
2287112,1382093,16
2291379,1384700,16
2295646,1387273,16
2299913,1389880,16
2304180,1392471,16
2308447,1395071,16
2312714,1397664,16
2316981,1400258,16
2321248,1402848,16
2325515,1405453,16
2329782,1408005,16
2334049,1410610,16
2338316,1413189,16
2342583,1415792,16
2346850,1418380,16
2351117,1420985,16
2355384,1423573,16
2359651,1426167,16
2363918,1428754,16
2368185,1431359,16
2372452,1433950,16
2376719,1436541,16
2380986,1439131,16
2385253,1441734,16
2389520,1444321,16
2393787,1446928,16
2398054,1449505,16
2402321,1452110,16
2406588,1454696,16
2410855,1457302,16
2415122,1459893,16
2419389,1462464,16
2423656,1465055,16
2427923,1467657,16
2432190,1470244,16
2436457,1472851,16
2440724,1475426,16
2444991,1478032,16
2449258,1480621,16
2453525,1483224,16
2457792,1485815,16
2462059,1488406,16
2466326,1490996,16
2470593,1493600,16
2474860,1496186,16
2479127,1498781,16
2483394,1501369,16
2487661,1503975,16
2491928,1506568,16
2496195,1509173,16
2500462,1511751,16
2504729,1514357,16
2508996,1516909,16
2513263,1519511,16
2517530,1522102,16
2521797,1524692,16
2526064,1527284,16
2530331,1529885,16
2534598,1532476,16
2538865,1535083,16
2543132,1537658,16
2547399,1540265,16
2551666,1542849,16
2555933,1545454,16
2560000,1547922,16
